temp,motion,sound,vibescore
23.81,0.09,0.25,0.01
22.81,0.12,0.11,0.07
21.33,0.3,0.14,0.2
20.18,0.26,0.2,0.18
21.48,0.1,0.89,0.68
21.32,0.01,0.84,0.68
21.69,0.57,1.12,0.67
21.69,0.53,0.0,0.58
21.81,0.21,0.11,0.58
21.75,0.3,0.11,0.57
21.78,0.52,0.02,0.59
21.78,0.52,0.02,0.59
21.82,0.32,0.1,0.63
21.81,0.49,0.08,0.63
21.81,0.53,0.49,0.69
21.81,0.55,0.24,0.69
21.87,0.24,0.64,0.58
22.03,0.41,0.61,0.65
24.77,0.0,0.0,0.68
22.56,0.5,0.59,0.68
22.62,0.46,0.24,0.7
22.7,0.57,0.66,0.7
22.81,0.19,3.96,0.7
22.95,0.43,0.24,0.7
24.17,0.58,0.27,0.71
24.69,0.54,1.05,0.73
25.88,0.3,0.03,0.5
25.77,0.26,0.0,0.45
25.72,0.59,0.0,0.45
25.67,0.42,0.0,0.42
25.64,0.83,0.18,0.42
25.71,0.12,0.01,0.45
20.14,0.0,0.21,0.14
20.34,0.1,0.24,0.16
20.22,0.09,0.15,0.03
19.72,0.01,0.23,0.1
19.47,0.01,0.29,0.02
20.55,0.0,0.03,0.16
20.13,0.0,0.14,0.11
19.69,0.0,0.14,0.0
19.72,0.0,0.25,0.2
19.6,0.0,0.14,0.15
20.84,0.0,0.21,0.24
20.44,0.0,0.16,0.0
19.28,0.02,0.2,0.08
20.49,0.09,0.17,0.4
20.09,0.01,0.12,0.15
20.77,0.0,0.19,0.13
19.51,0.01,0.22,0.09
19.81,0.02,0.1,0.2
20.21,0.01,0.16,0.16
20.41,0.0,0.17,0.03
20.31,0.0,0.13,0.11
19.97,0.0,0.22,0.1
19.68,0.02,0.17,0.18
19.64,0.0,0.12,0.1
20.11,0.0,0.23,0.1
20.91,0.0,0.21,0.13
20.73,0.0,0.18,0.27
20.16,0.01,0.22,0.17
20.92,0.0,0.24,0.18
20.12,0.0,0.11,0.15
20.18,0.03,0.12,0.12
20.14,0.0,0.13,0.2
19.7,0.0,0.15,0.1
20.35,0.0,0.1,0.18
21.01,0.0,0.11,0.21
19.92,0.0,0.25,0.08
20.11,0.0,0.3,0.17
19.07,0.0,0.13,0.12
19.56,0.03,0.16,0.15
19.69,0.0,0.27,0.0
20.51,0.03,0.23,0.15
20.5,0.0,0.15,0.07
20.05,0.0,0.12,0.13
20.36,0.0,0.16,0.12
19.99,0.0,0.15,0.24
19.17,0.0,0.16,0.27
20.19,0.0,0.23,0.17
19.96,0.0,0.24,0.07
20.75,0.01,0.13,0.15
19.72,0.0,0.2,0.21
20.22,0.01,0.15,0.2
19.62,0.0,0.16,0.29
19.94,0.02,0.14,0.07
20.28,0.0,0.13,0.18
19.82,0.0,0.17,0.0
20.35,0.07,0.19,0.11
20.2,0.1,0.14,0.07
20.05,0.03,0.16,0.16
20.2,0.0,0.24,0.3
20.0,0.0,0.21,0.08
21.32,0.02,0.28,0.28
19.43,0.01,0.16,0.09
19.68,0.0,0.08,0.15
20.54,0.0,0.21,0.29
19.92,0.01,0.17,0.2
20.1,0.0,0.19,0.0
19.69,0.03,0.15,0.17
19.51,0.0,0.29,0.14
19.75,0.02,0.18,0.06
19.39,0.0,0.16,0.15
20.39,0.02,0.18,0.0
20.68,0.01,0.24,0.14
19.67,0.01,0.13,0.11
19.27,0.0,0.2,0.11
19.89,0.04,0.27,0.23
19.54,0.03,0.2,0.26
19.64,0.06,0.11,0.09
19.75,0.0,0.18,0.0
20.0,0.02,0.14,0.07
20.58,0.0,0.22,0.05
20.03,0.03,0.17,0.24
20.75,0.02,0.21,0.0
20.22,0.07,0.2,0.0
20.11,0.0,0.19,0.04
20.56,0.0,0.24,0.16
19.96,0.0,0.16,0.29
19.57,0.02,0.25,0.2
19.6,0.0,0.28,0.09
19.11,0.0,0.15,0.12
19.68,0.04,0.08,0.0
20.27,0.0,0.16,0.04
20.37,0.02,0.16,0.09
19.7,0.02,0.21,0.0
19.73,0.07,0.19,0.16
20.14,0.0,0.11,0.15
19.4,0.02,0.15,0.0
20.45,0.0,0.09,0.1
20.38,0.07,0.17,0.0
20.64,0.0,0.13,0.15
20.11,0.0,0.12,0.02
20.76,0.0,0.18,0.01
19.86,0.0,0.3,0.13
19.59,0.04,0.24,0.19
20.73,-0.0,0.13,0.09
19.55,0.06,0.17,0.02
19.68,0.01,0.21,0.0
19.83,0.07,0.1,0.17
20.17,0.0,0.21,0.04
20.11,0.0,0.14,0.09
20.45,0.0,0.22,0.05
21.06,0.0,0.12,0.22
19.25,0.0,0.13,0.02
19.32,0.0,0.2,0.26
20.97,0.02,0.23,0.06
20.24,0.0,0.09,0.19
20.27,0.06,0.25,0.12
20.71,0.11,0.16,0.05
19.96,0.0,0.21,0.08
19.04,0.0,0.24,0.24
19.86,0.0,0.15,0.11
19.3,0.05,0.12,0.22
19.85,0.1,0.14,-0.0
19.67,0.0,0.24,0.07
20.47,0.0,0.16,0.17
20.02,0.0,0.19,0.2
19.89,0.0,0.12,0.23
19.93,0.0,0.2,0.31
20.12,0.0,0.17,0.0
20.2,0.0,0.23,0.33
20.37,0.03,0.16,0.14
20.13,0.0,0.31,0.21
19.23,0.01,0.1,0.1
20.45,0.0,0.2,0.1
19.26,-0.0,0.11,0.14
20.25,0.05,0.33,0.07
20.83,0.1,0.19,0.0
19.51,0.0,0.25,0.24
20.21,0.04,0.21,0.16
19.93,0.0,0.22,0.16
20.2,0.0,0.26,0.0
20.16,0.0,0.2,0.0
19.8,0.0,0.23,0.27
20.17,0.0,0.18,0.14
19.75,0.0,0.15,0.08
20.2,0.01,0.07,0.21
19.84,0.07,0.2,0.14
20.79,0.0,0.12,0.0
20.43,0.0,0.2,0.19
20.52,0.0,0.17,0.02
19.84,0.0,0.16,0.03
19.51,0.05,0.17,0.0
20.43,0.07,0.2,0.07
20.33,0.0,0.25,0.21
20.49,0.0,0.28,0.12
20.29,-0.0,0.22,0.15
20.18,0.05,0.24,0.19
20.66,0.0,0.15,0.17
20.34,0.02,0.23,0.12
19.58,0.0,0.2,0.22
20.4,0.0,0.24,0.19
20.37,0.0,0.13,0.04
20.31,0.0,0.14,0.17
20.09,0.0,0.13,0.04
20.47,0.0,0.21,0.13
20.47,0.0,0.15,0.13
19.63,0.0,0.26,0.23
21.09,0.0,0.17,0.01
19.53,0.06,0.13,0.13
19.18,0.0,0.16,0.14
20.89,0.04,0.16,0.0
19.57,0.04,0.16,0.23
19.97,0.0,0.21,0.07
19.55,0.0,0.19,0.21
20.42,0.01,0.26,0.19
20.14,0.01,0.13,0.08
19.96,0.04,0.18,0.12
19.72,0.02,0.19,0.11
20.99,0.0,0.2,0.22
20.14,0.01,0.35,0.0
19.72,0.0,0.05,0.09
19.38,0.0,0.16,0.16
20.11,0.0,0.23,0.24
20.17,0.0,0.2,0.12
20.47,0.07,0.2,0.21
20.28,0.0,0.07,0.16
20.76,0.08,0.05,0.2
20.2,0.02,0.09,0.27
19.93,0.0,0.11,0.1
19.8,-0.0,0.23,0.05
19.96,0.04,0.18,0.19
20.68,0.01,0.16,0.04
20.36,0.0,0.15,0.14
20.3,0.11,0.09,0.16
19.97,0.07,0.11,0.06
20.21,0.0,0.16,0.02
19.49,0.0,0.15,0.15
20.55,0.03,0.18,0.09
20.36,0.0,0.26,0.03
19.61,0.0,0.2,0.0
20.36,0.08,0.17,0.22
20.54,0.0,0.27,0.22
19.34,0.0,0.2,0.07
19.45,0.0,0.15,0.2
20.31,0.03,0.1,0.11
20.53,0.01,0.22,0.22
20.07,0.05,0.19,0.04
20.15,-0.0,0.16,0.1
20.62,0.0,0.19,0.1
19.84,0.0,0.23,0.17
20.01,0.0,0.18,0.08
19.61,0.07,0.06,0.13
19.17,0.05,0.06,0.13
21.12,0.05,0.33,0.1
20.54,0.01,0.3,0.19
20.7,0.05,0.19,0.14
20.11,0.0,0.25,0.05
20.05,-0.0,0.13,0.16
21.07,0.02,0.16,0.15
19.87,0.0,0.2,0.16
20.39,0.06,0.15,0.04
20.46,0.04,0.18,0.18
20.1,0.0,0.19,0.0
19.94,0.04,0.32,0.03
19.95,0.0,0.1,0.23
20.37,0.09,0.16,0.19
20.7,0.0,0.17,0.0
20.75,0.0,0.2,0.17
20.45,0.0,0.25,0.22
19.57,0.01,0.16,0.15
20.37,0.03,0.2,0.32
18.88,0.09,0.13,0.16
19.93,0.0,0.25,0.15
19.93,0.01,0.29,0.13
20.9,0.05,0.22,0.24
19.47,0.09,0.15,0.27
20.97,0.0,0.22,0.17
19.22,0.0,0.14,0.0
20.37,0.0,0.1,0.18
19.77,0.0,0.13,0.07
19.42,0.0,0.11,0.23
19.27,0.0,0.18,0.09
20.24,0.08,0.23,0.05
20.07,0.03,0.21,0.13
20.05,0.0,0.09,0.09
20.26,0.0,0.13,0.19
20.36,0.02,0.13,0.09
20.17,0.08,0.13,0.0
20.01,0.0,0.2,0.15
20.29,0.0,0.19,0.08
19.03,0.0,0.21,0.14
19.55,0.0,0.05,0.23
20.29,-0.0,0.13,0.1
20.22,0.0,0.11,0.12
19.68,0.0,0.1,0.02
19.48,0.0,0.18,0.12
20.17,0.02,0.19,0.03
20.07,0.02,0.11,0.21
19.67,0.0,0.12,0.09
19.89,0.0,0.08,0.0
19.61,0.0,0.1,0.14
20.69,0.02,0.17,0.06
20.72,0.0,0.2,0.28
20.55,0.0,0.23,0.14
20.1,0.03,0.23,0.13
19.79,0.04,0.26,0.27
19.7,0.01,0.16,0.08
20.18,0.06,0.17,0.17
20.6,0.08,0.14,0.27
20.84,0.0,0.23,0.06
19.7,0.0,0.24,0.09
20.03,0.01,0.14,0.03
20.2,0.01,0.11,0.17
20.35,0.0,0.24,0.15
20.13,0.0,0.1,0.09
19.97,0.07,0.2,0.0
19.41,-0.0,0.31,0.18
20.18,0.0,0.21,0.17
19.17,0.07,0.17,0.29
19.73,-0.0,0.09,0.2
19.85,0.0,0.14,0.16
20.43,0.0,0.18,0.12
19.94,0.01,0.17,0.06
19.36,0.03,0.25,0.0
19.39,0.02,0.14,0.19
19.39,0.0,0.23,0.11
20.22,0.0,0.04,0.12
20.57,-0.0,0.14,0.02
20.11,0.03,0.11,0.14
20.19,0.06,0.11,0.11
20.53,0.02,0.05,0.08
20.92,0.0,0.08,0.22
20.56,0.0,0.1,0.04
20.37,0.0,0.17,0.2
20.98,0.02,0.19,0.12
20.33,0.07,0.11,0.23
20.22,0.0,0.22,0.06
20.23,0.0,0.18,0.12
21.08,0.0,0.18,0.01
19.55,0.07,0.11,0.09
20.08,0.0,0.17,0.09
20.26,-0.0,0.22,0.02
20.48,0.06,0.08,0.16
19.75,0.0,0.09,0.08
20.44,0.0,0.3,0.12
19.77,0.06,0.13,0.03
20.48,0.0,0.2,0.15
20.66,0.0,0.16,0.13
19.8,0.04,0.09,0.08
19.9,0.02,0.28,0.16
20.26,0.02,0.09,0.15
20.37,0.0,0.13,0.17
19.46,0.0,0.08,0.13
20.01,0.01,0.04,0.0
19.55,0.0,0.17,0.05
19.9,0.01,0.24,0.13
19.76,0.07,0.14,0.1
19.19,0.02,0.09,0.09
20.04,0.0,0.2,0.28
20.78,0.0,0.19,0.21
20.13,0.09,0.2,0.32
21.47,0.0,0.07,0.07
18.8,0.03,0.09,0.13
20.39,0.01,0.22,0.07
20.6,0.0,0.18,0.1
20.3,0.0,0.14,0.01
20.16,0.0,0.19,0.03
19.75,0.09,0.27,0.13
19.58,0.0,0.29,0.01
20.11,0.0,0.23,0.2
20.54,0.0,0.18,0.0
20.49,0.05,0.15,0.03
20.31,0.0,0.25,0.25
19.96,0.0,0.2,0.19
20.66,0.01,0.08,0.0
19.57,0.01,0.21,0.04
20.05,0.01,0.06,0.16
19.37,0.0,0.2,0.01
20.23,0.01,0.23,0.15
19.32,0.0,0.1,0.24
19.17,-0.0,0.11,0.15
19.76,-0.0,0.21,0.0
20.03,0.0,0.26,0.09
19.99,0.0,0.17,0.07
20.17,0.0,0.18,0.17
19.79,0.0,0.18,0.11
