temp,motion,sound,vibescore
23.81,0.09,0.25,0.01
22.81,0.12,0.11,0.07
21.33,0.3,0.14,0.2
20.18,0.26,0.2,0.18
21.48,0.1,0.89,0.68
21.32,0.01,0.84,0.68
21.69,0.57,1.12,0.67
21.69,0.53,0.0,0.58
21.81,0.21,0.11,0.58
21.75,0.3,0.11,0.57
21.78,0.52,0.02,0.59
21.78,0.52,0.02,0.59
21.82,0.32,0.1,0.63
21.81,0.49,0.08,0.63
21.81,0.53,0.49,0.69
21.81,0.55,0.24,0.69
21.87,0.24,0.64,0.58
22.03,0.41,0.61,0.65
24.77,0.0,0.0,0.68
22.56,0.5,0.59,0.68
22.62,0.46,0.24,0.7
22.7,0.57,0.66,0.7
22.81,0.19,3.96,0.7
22.95,0.43,0.24,0.7
24.17,0.58,0.27,0.71
24.69,0.54,1.05,0.73
25.88,0.3,0.03,0.5
25.77,0.26,0.0,0.45
25.72,0.59,0.0,0.45
25.67,0.42,0.0,0.42
25.64,0.83,0.18,0.42
25.71,0.12,0.01,0.45
22.09,0.44,0.27,0.6
22.83,0.0,0.0,0.6
24.96,0.22,0.79,0.77
23.63,0.4,1.17,0.24
23.54,0.12,0.94,0.55
23.54,0.18,1.46,0.7
22.91,0.86,0.7,0.28
21.91,0.75,0.24,0.39
24.08,0.22,1.88,0.17
20.99,0.64,0.23,0.43
23.65,0.31,0.32,0.63
23.98,0.47,0.11,0.64
19.7,0.44,0.0,0.43
22.97,0.75,1.05,0.87
22.01,0.19,0.0,0.04
22.86,0.04,0.0,0.54
21.88,0.3,0.62,0.65
24.11,0.47,0.7,0.71
21.23,0.63,0.05,0.34
23.05,0.01,0.0,0.65
20.59,0.46,0.46,0.85
21.74,0.2,0.0,0.54
24.22,0.12,0.62,0.37
21.3,0.38,1.56,0.34
22.1,0.23,0.0,0.62
20.03,0.1,0.0,0.7
21.73,0.5,1.36,0.36
22.07,0.37,0.47,0.31
22.88,0.53,1.26,0.62
24.93,0.28,0.16,0.32
23.39,0.17,0.0,0.88
19.9,0.26,1.92,0.73
21.05,0.42,0.42,0.76
22.01,0.56,1.31,0.54
23.22,0.22,0.72,0.59
19.93,0.17,0.95,0.43
23.09,0.29,0.0,0.66
21.53,0.58,0.57,0.3
22.66,0.36,0.43,0.73
20.41,0.57,0.69,0.58
21.64,0.18,2.0,0.71
20.31,0.5,1.19,0.4
22.2,0.33,0.0,0.6
24.17,0.07,0.0,0.63
22.6,0.06,0.0,0.94
22.71,0.45,1.36,0.23
23.07,0.07,0.67,0.36
22.93,0.23,0.56,0.65
24.28,0.39,0.0,0.69
25.69,0.32,0.93,0.45
24.17,0.31,0.3,0.64
22.28,0.42,0.22,0.68
24.81,0.37,0.27,0.49
27.18,0.0,1.34,0.62
24.6,0.54,0.09,0.8
20.2,0.46,0.0,0.0
18.5,0.4,1.06,0.82
22.28,0.23,1.37,0.33
22.12,0.39,0.46,0.77
23.08,0.43,0.1,0.12
22.93,0.19,0.0,0.49
21.16,0.26,0.89,0.53
23.66,0.09,1.11,0.25
23.1,0.13,0.0,0.55
20.7,0.34,0.0,0.29
24.24,0.54,0.0,0.37
23.75,0.52,1.29,0.73
24.64,0.53,0.0,0.51
22.24,0.68,0.3,0.53
23.91,0.44,1.06,0.95
23.77,0.16,0.51,0.5
20.71,0.68,0.8,0.77
23.74,0.13,0.0,0.38
25.49,0.4,0.07,0.56
20.37,0.21,0.58,0.71
21.44,0.23,0.0,0.58
22.12,0.57,0.18,0.32
23.06,0.74,0.19,0.67
18.82,0.54,1.17,0.71
22.1,0.03,0.0,0.68
26.21,0.02,0.0,0.39
22.76,0.28,0.25,0.39
23.68,0.23,0.0,0.57
21.4,0.19,1.08,0.69
26.66,0.65,0.0,0.33
23.53,0.41,0.32,0.77
24.28,0.23,0.0,0.47
22.55,0.09,0.65,0.47
22.43,0.51,0.0,0.47
22.17,0.59,0.8,0.64
23.66,0.62,0.0,0.51
22.76,0.48,0.0,0.48
21.84,0.91,0.99,0.87
23.89,0.53,0.75,0.29
18.57,0.09,0.16,0.76
22.58,0.51,1.03,0.55
23.67,0.17,0.0,0.44
27.19,0.43,0.53,0.29
20.2,0.48,1.05,0.45
20.99,0.46,0.69,0.62
23.17,0.26,0.37,0.39
26.54,0.59,0.0,0.75
23.97,0.23,0.02,0.41
22.01,0.44,0.67,0.24
23.21,0.47,0.65,0.32
21.48,0.42,0.0,0.32
21.39,0.61,1.46,0.56
22.91,0.55,0.04,0.56
21.39,0.42,0.62,0.47
21.45,0.36,0.0,0.75
22.97,0.27,0.0,0.56
25.68,0.39,0.0,0.65
23.49,0.25,0.78,0.45
22.08,0.43,0.0,0.51
25.37,0.27,0.75,1.0
23.43,0.34,0.61,0.66
24.79,0.41,1.44,0.56
22.37,0.63,0.94,0.74
23.33,0.62,0.27,0.39
22.38,0.49,0.0,0.67
22.09,0.23,0.89,0.67
24.53,0.39,0.42,0.65
23.3,0.07,0.0,0.27
20.31,0.07,0.84,0.5
23.25,0.56,0.58,0.16
23.09,0.28,-0.0,0.52
24.38,0.63,0.83,0.5
20.38,0.53,1.07,0.31
25.17,0.36,1.13,0.62
22.88,0.52,0.38,0.67
23.15,0.09,1.05,0.5
21.68,0.34,0.64,0.92
23.95,0.34,0.0,0.59
22.17,0.39,0.0,0.61
24.05,0.08,0.9,0.83
22.99,0.48,0.18,0.54
25.13,0.33,0.28,0.37
21.23,0.5,0.87,0.39
25.37,0.22,0.57,0.76
25.81,0.37,1.09,0.24
22.49,0.35,1.8,0.42
25.1,0.48,0.59,0.25
22.28,0.45,0.34,0.52
22.95,0.94,1.0,0.43
20.99,0.44,0.76,0.66
24.4,0.4,0.0,0.8
19.99,0.3,1.62,0.73
24.76,0.36,2.04,0.58
23.32,0.09,0.06,0.93
22.37,0.76,1.75,0.86
22.32,0.52,0.0,0.58
20.97,0.55,0.83,0.73
24.42,0.06,0.86,0.72
21.43,0.51,0.52,0.49
24.18,0.62,0.0,0.18
23.24,0.41,0.33,0.46
22.47,0.39,0.87,0.32
20.89,0.38,0.0,0.88
22.98,0.14,0.51,0.61
25.79,0.25,0.85,0.93
25.24,0.25,0.08,0.51
25.15,0.35,0.2,0.62
24.49,0.52,0.0,0.55
20.77,0.49,0.62,0.6
25.16,0.46,0.84,0.67
23.7,0.15,0.43,0.64
19.13,0.28,0.0,0.3
20.24,0.6,0.0,1.0
21.88,0.45,0.78,0.62
24.74,0.71,1.83,0.43
24.77,0.34,1.75,0.54
25.34,0.23,2.33,0.37
24.68,0.55,0.77,0.0
22.71,0.43,0.0,0.59
21.27,0.48,1.09,0.21
22.37,0.06,0.0,0.78
25.14,0.31,0.61,0.99
17.7,0.51,0.72,0.74
22.91,0.67,0.0,0.62
22.58,0.25,0.35,0.74
25.69,0.25,0.1,0.53
22.49,0.55,0.0,0.6
22.99,0.34,1.4,0.79
23.09,0.17,0.77,0.06
23.97,0.06,0.05,0.44
21.84,0.03,0.29,0.52
21.53,0.59,1.35,0.56
21.66,0.13,0.0,0.73
23.13,0.08,0.26,0.5
24.15,0.27,1.83,0.83
22.17,0.59,0.67,0.64
21.04,0.26,0.4,0.56
24.26,0.63,0.0,0.7
21.16,0.67,0.29,0.7
23.7,0.48,0.0,0.4
21.41,0.51,0.76,0.6
23.81,0.47,0.12,0.71
23.55,0.39,0.0,0.67
22.35,0.63,0.0,0.6
23.97,0.09,0.0,0.74
17.83,0.29,0.0,0.18
17.81,0.06,0.73,0.13
18.12,0.09,0.47,0.02
18.9,0.0,0.65,0.15
19.23,0.12,0.31,0.2
18.59,0.16,0.0,0.22
19.1,0.09,0.0,0.19
18.71,0.01,0.0,0.03
19.11,0.07,0.91,0.26
18.61,0.03,0.0,0.18
18.91,0.13,0.62,0.15
18.33,0.1,0.0,0.16
18.94,0.04,0.2,0.12
18.79,0.37,1.0,0.12
18.88,0.15,0.65,0.18
18.82,0.04,0.0,0.0
19.52,0.16,0.04,0.12
18.85,0.2,0.45,0.16
18.86,0.17,0.0,0.19
17.76,0.19,0.0,0.04
18.33,0.08,0.58,0.15
18.75,0.13,0.0,0.02
18.82,0.16,0.0,0.09
18.66,0.14,0.59,0.17
18.74,0.05,0.0,0.15
18.85,0.18,0.46,0.07
18.27,0.14,0.25,0.18
18.38,0.0,0.25,0.16
18.81,0.13,0.99,0.16
18.9,0.0,0.32,0.1
18.91,0.17,1.78,0.13
18.42,0.03,0.6,0.08
18.76,0.3,0.18,0.12
18.62,0.13,0.0,0.23
18.85,0.05,0.78,0.15
18.72,0.12,0.82,0.14
18.54,0.2,0.0,0.22
19.1,0.13,0.0,0.08
18.78,0.31,0.31,0.27
19.35,0.21,0.16,0.08
17.82,0.18,0.0,0.14
18.69,0.02,0.0,0.26
18.75,0.0,0.0,0.19
18.54,0.0,0.18,0.09
18.18,0.03,1.31,0.02
18.43,0.11,0.59,0.18
18.98,0.03,0.26,0.04
18.56,0.24,0.32,0.2
18.51,0.14,0.0,0.15
19.22,0.06,0.38,0.11
18.67,0.0,0.26,0.12
18.76,0.3,0.0,0.07
18.79,0.17,0.06,0.15
19.21,0.13,0.0,0.18
18.81,0.11,0.98,0.14
18.45,0.14,0.57,0.09
18.84,0.33,0.79,0.18
18.61,0.08,0.0,0.18
18.89,0.1,0.84,0.11
17.84,0.12,0.85,0.08
18.95,0.26,0.79,0.01
19.14,0.22,0.26,0.08
19.02,0.23,0.02,0.15
19.04,0.25,1.59,0.02
18.43,0.2,0.23,0.06
18.4,0.16,0.0,0.09
18.89,0.12,0.82,0.12
19.11,0.11,1.18,0.14
18.4,0.05,0.48,0.35
19.76,0.02,1.41,0.09
18.95,0.12,0.0,0.15
18.91,0.01,0.69,0.03
18.53,0.31,0.29,0.12
18.72,0.0,0.0,0.16
18.02,0.21,0.45,0.0
18.84,0.04,0.31,0.15
19.39,0.2,0.77,0.15
18.92,0.13,1.01,0.09
18.49,0.25,0.0,0.09
18.75,0.19,0.86,0.13
18.83,0.07,0.0,0.19
18.67,0.3,0.32,0.05
18.42,0.2,0.11,0.17
18.48,0.24,0.86,0.07
18.44,0.08,0.13,0.17
17.74,0.0,0.64,0.07
19.03,0.29,0.54,0.06
19.35,0.06,0.4,0.15
19.04,0.15,1.09,0.12
18.17,0.24,0.35,0.06
18.68,0.19,0.22,0.04
18.36,0.09,0.01,0.12
18.64,0.15,0.16,0.24
18.6,0.13,0.0,0.0
18.44,0.0,0.51,0.02
19.24,0.09,0.0,0.0
19.41,0.13,0.41,0.09
19.18,0.03,0.79,0.11
18.02,0.11,0.51,0.06
18.87,0.0,1.38,0.17
18.59,0.08,0.77,0.1
18.52,0.02,1.27,0.14
19.5,0.22,0.28,0.11
18.29,0.06,0.24,0.15
19.86,0.23,0.0,0.09
18.05,0.16,0.14,0.06
18.37,0.11,0.69,0.0
18.78,0.13,1.4,0.22
19.27,0.07,0.84,0.0
18.83,0.0,0.47,0.08
19.18,0.11,0.51,0.12
18.36,0.19,0.78,0.02
18.29,0.21,0.98,0.09
18.48,0.3,0.54,0.15
19.23,0.0,0.46,0.25
18.84,0.25,0.98,0.1
18.85,0.15,1.31,0.13
19.03,0.05,0.96,0.0
18.22,0.21,0.67,0.13
18.99,0.05,0.43,0.18
19.55,0.07,0.5,0.08
18.9,0.03,0.31,0.09
18.43,0.24,0.63,0.2
18.71,0.18,0.0,0.11
19.03,0.26,0.57,0.0
18.47,0.21,0.0,0.17
19.04,0.12,0.0,0.06
19.5,0.12,0.0,0.16
18.53,0.13,0.42,0.08
18.39,0.15,0.36,0.14
19.17,0.05,0.56,0.12
18.72,0.0,0.51,0.09
18.39,0.03,1.48,0.17
18.09,0.03,0.0,0.13
18.44,0.18,0.47,0.0
19.13,0.28,0.99,0.15
18.86,0.05,0.42,0.29
18.99,-0.0,0.78,0.2
18.11,0.02,0.11,0.17
19.35,0.1,0.29,0.2
18.04,0.0,0.0,0.08
18.44,0.1,0.16,0.19
18.95,0.06,0.44,0.14
18.79,0.26,0.0,0.13
18.67,-0.0,0.47,0.09
17.81,0.08,0.0,0.11
